2389	שרעבי ישראל-ישעיהו
2390	כהן אידוב
2391	כהן בנו
2392	כהן גאולה
2393	כהן גבריאל
2394	כהן יגאל
2395	כהן יוחנן
2396	כהן מנחם
2397	כהן שלום
2398	כהן-אבידב מאיר
2399	כהן-אורגד יגאל
2400	כהן-כגן רחל
2401	כהן-מגורי חיים
2402	כהן-צידון שלמה
2404	כהנא קלמן
2405	כלפון אברהם
2406	כנוביץ שמעון
2407	כסה יונה
2408	כפרית שרה
2409	כץ אברהם
2410	כץ זאב
2411	כץ יעקב
2412	כץ שמואל
2413	כץ-עוז אברהם
2414	כצנלסון בת-שבע
2415	כרמל משה
2416	לבון פנחס
2417	לביא שלמה
2418	לבנבראון אברהם
2419	לבני איתן
2422	לוונשטיין מאיר-דוד
2423	לוז קדיש
2424	לוי דניאל יצחק
2426	לוי סטלה
2427	לוין יצחק-מאיר
2428	לוין נחום
2429	לוין שלום
2430	לוקר ברל
2431	לורנץ שלמה
2433	ליבנה אליעזר
2434	ליבשיץ דוד
2437	לין אמנון
2438	לינקר ציטה
2440	לם יוסף
2441	למדן חנה
2442	לנדאו חיים
2443	לנקין אליהו
2446	לקט יחיאל
2448	מאיר גולדה
2450	מואב בועז
2451	מודעי יצחק
2452	מוויס חנא
2453	מויאל אברהם
2454	מועדי ג׳בר
2456	מזור אליהו
2458	מזרחי יעקב
2459	מילמן הלוי דב
2460	פישמן יהודה לייב
2461	מימון עדה
2462	מינץ בנימין
2464	מיקוניס שמואל
2466	מלמד אברהם
2469	מרון משה
2470	מרידור אליהו
2471	מרידור יעקב
2472	מרלין שמואל
2473	מרציאנו סעדיה
2474	משל ירוחם
2476	נבון יצחק
2477	נוף עקיבא
2478	נורוק מרדכי
2479	נחושתן יעקב
2480	נחלה אליאס
2484	ניצני יעקב
2486	ניר-רפאלקס נחום
2487	נמיר אורה
2488	נמיר מרדכי
2489	נסים משה
2490	נסראלדין אמל
2493	נפתלי פרץ
2494	נצר דבורה
2495	נריה משה צבי
2497	סבידור מנחם
2499	סדן דב
2500	סוזאייב זלמן
2503	סורקיס מרדכי
2504	סטופ אברהם
2506	סלימאן צלאח
2508	סמילנסקי יזהר
2509	סנה משה
2510	סנהדראי טובה
2512	ספיר יוסף
2513	ספיר פנחס
2514	סרדינס יעקב
2516	סרלין יוסף
2517	עבאס אברהם
2518	עוביד דיאב
2519	עוזיאל בנימין
2520	עופר אברהם
2521	עופר מרדכי
2523	עטשי זיידאן
2525	עמאר משה
2527	עמית מאיר
2530	פדר נפתלי
2531	פורדר ישעיהו
2533	אילנית פייגה
2534	פיינברג-סירני עדה
2535	פיינרמן עוזי
2536	פישר יוסף
2537	פלאטו-שרון שמואל
2540	פלד נתן
2542	פלדמן ראובן
2543	פלומין יחזקאל
2544	פלש ג'ורג'
2546	פנקס דוד-צבי
2547	פעיל מאיר
2548	פרומקין השל
2549	פרוש מנחם
2551	פרי אלעזר
2552	פרידמן מרשה
2553	פרידמן שמחה
2554	פרלשטיין שלמה
2555	פרמינגר אליעזר
2556	פרנק יעקב
2557	פרסיץ שושנה
2558	פרץ יצחק
2560	פת גדעון
2561	פתל דוד
2562	יחיא וליד חאג׳
2564	צברי רחל
2565	צדוק חיים יוסף
2567	צור זאב
2571	ציזלינג אהרן
2572	צימרמן צבי
2573	צפורי-הנדין מרדכי
2575	קול משה
2577	קופמן חיים
2578	ברגסון הלל
2579	קורן דוד
2580	קורן יצחק
2581	קורפו חיים
2582	קושניר יוסף
2584	קליבנוב יעקב
2585	קלינגהופר יצחק-הנס
2586	קלמר משה
2587	קמין ברוך
2588	קנב יצחק
2589	קסיס מסעד
2590	קפלן אליעזר
2591	קצב נוזהת
2592	קרגמן ישראל
2593	קרמרמן יוסף
2595	רבין יצחק
2596	רבינוביץ יהושע
2597	רובין בן-ציון
2598	רובין חנן
2599	רוזוליו דניאל
2600	רוזן פנחס
2601	רוזן שלמה
2602	רום יוסף
2603	רון אמרי
2604	רונן אליעזר
2605	רוקח ישראל
2607	רזיאל-נאור אסתר
2609	רימלט אליעזר
2610	ריפתין יצחק
2611	רכטמן שמואל
2612	רמז אהרן
2613	רמז דוד
2615	רפאל יצחק
2616	רפטור ברל
2617	רצון מנחם
2618	רקנטי אברהם
2619	שאג אברהם חיים
2620	שאקי אבנר-חי
2621	שאקי שלום אברהם
2625	שובל זלמן
2627	שוסטק אליעזר
2628	שופמן יוסף
2629	שוקן גרשום
2630	שורש שלמה
2631	שזר שניאור זלמן
2632	שחור בנימין
2633	שחל משה
2636	שטרן דוד
2637	שטרן מרדכי-חיים
2638	שטרן-קטן שרה
2639	שיטרית בכור שלום
2640	שיכמן שבתאי
2642	שילנסקי דב
2643	שינמן פנחס
2645	שכטרמן אברהם
2648	שם-טוב ויקטור
2651	שמחונית יהודית
2652	שמיר יצחק
2653	שמיר משה
2654	שמעוני חביב
2655	שערי יהודה
2657	שפטל אריה
2659	שפייזר אליהו
2661	שפירא  חיים משה
2662	שפירא יעקב
2663	שפר זאב
2665	שפרינצק יוסף
2666	שרי ראובן
2667	שריד אברהם
2668	שרף זאב
2669	ששון אליהו
2670	ששון-סילס בנימין
2671	תבורי אפרים
2673	תלמי אמה
2674	תלמי מאיר
2675	תמיר יוסף
2676	תמיר שמואל
3256	גרי יעקב מאיר
3257	דולצ'ין אריה
3258	טולידאנו יעקב משה
3259	כהן חיים
3260	כץ ישראל
5895	ורדי הרצל
5897	לוריא צבי
5898	סגל צבי
5899	שטנר מרדכי
5901	אוסטר דניאל
5902	ברלין אליהו
5903	גולד זאב
5904	גרינבוים יצחק
5906	דובקין אליהו
5907	כובאשי סעדיה
5908	קצנלסון אברהם
5909	פישמן יהודה לייב הכהן
5955	בן-ציון קשת
5975	אופיר אריה
5977	בורלא יהודה
5978	ברלין מאיר
5979	הגר מנחם
5982	וינשטיין ברוך
5985	כצנלסון רחל
5987	למברגר שמואל
5991	רובין יעקב
