236	כסה יונה
237	כפרית שרה
238	כץ אברהם
239	כץ זאב
240	כץ יעקב
241	כץ שמואל
242	כץ-עוז אברהם
243	כצנלסון בת-שבע
244	כרמל משה
245	לבון פנחס
246	לביא שלמה
247	לבנבראון אברהם
248	לבני איתן
249	לוונשטיין מאיר-דוד
250	לוז קדיש
251	לוי דניאל יצחק
252	לוי סטלה
253	לוין יצחק-מאיר
254	לוין נחום
255	לוין שלום
256	לוקר ברל
257	לורנץ שלמה
258	ליבנה אליעזר
259	ליבשיץ דוד
260	לין אמנון
261	לינקר ציטה
262	לם יוסף
263	למדן חנה
264	לנדאו חיים
265	לנקין אליהו
266	לקט יחיאל
267	מאיר גולדה
268	מואב בועז
269	מודעי יצחק
270	מוויס חנא
271	מויאל אברהם
272	מועדי ג׳בר
273	מזור אליהו
274	מזרחי יעקב
275	מילמן הלוי דב
276	פישמן יהודה לייב
277	מימון עדה
278	מינץ בנימין
279	מיקוניס שמואל
280	מלמד אברהם
281	מרון משה
282	מרידור אליהו
283	מרידור יעקב
284	מרלין שמואל
285	מרציאנו סעדיה
286	משל ירוחם
287	נבון יצחק
288	נוף עקיבא
289	נורוק מרדכי
290	נחושתן יעקב
291	נחלה אליאס
292	ניצני יעקב
293	ניר-רפאלקס נחום
294	נמיר אורה
295	נמיר מרדכי
296	נסים משה
297	נסראלדין אמל
298	נפתלי פרץ
299	נצר דבורה
300	נריה משה צבי
301	סבידור מנחם
302	סדן דב
303	סוזאייב זלמן
304	סורקיס מרדכי
305	סטופ אברהם
306	סלימאן צלאח
307	סמילנסקי יזהר
308	סנה משה
309	סנהדראי טובה
310	ספיר יוסף
311	ספיר פנחס
312	סרדינס יעקב
313	סרלין יוסף
314	עבאס אברהם
315	עוביד דיאב
316	עוזיאל בנימין
317	עופר אברהם
318	עופר מרדכי
319	עטשי זיידאן
320	עמאר משה
321	עמית מאיר
322	פדר נפתלי
323	פורדר ישעיהו
324	אילנית פייגה
325	פיינברג-סירני עדה
326	פיינרמן עוזי
327	פישר יוסף
328	פלאטו-שרון שמואל
329	פלד נתן
330	פלדמן ראובן
331	פלומין יחזקאל
332	פלש ג'ורג'
333	פנקס דוד-צבי
334	פעיל מאיר
335	פרומקין השל
336	פרוש מנחם
337	פרי אלעזר
338	פרידמן מרשה
339	פרידמן שמחה
340	פרלשטיין שלמה
341	פרמינגר אליעזר
342	פרנק יעקב
343	פרסיץ שושנה
344	פרץ יצחק
345	פת גדעון
346	פתל דוד
347	יחיא וליד חאג׳
348	צברי רחל
349	צדוק חיים יוסף
350	צור זאב
351	ציזלינג אהרן
352	צימרמן צבי
353	צפורי-הנדין מרדכי
354	קול משה
355	קופמן חיים
356	ברגסון הלל
357	קורן דוד
358	קורן יצחק
359	קורפו חיים
360	קושניר יוסף
361	קליבנוב יעקב
362	קלינגהופר יצחק-הנס
363	קלמר משה
364	קמין ברוך
365	קנב יצחק
366	קסיס מסעד
367	קפלן אליעזר
368	קצב נוזהת
369	קרגמן ישראל
370	קרמרמן יוסף
371	רבין יצחק
372	רבינוביץ יהושע
373	רובין בן-ציון
374	רובין חנן
375	רוזוליו דניאל
376	רוזן פנחס
377	רוזן שלמה
378	רום יוסף
379	רון אמרי
380	רונן אליעזר
381	רוקח ישראל
382	רזיאל-נאור אסתר
383	רימלט אליעזר
384	ריפתין יצחק
385	רכטמן שמואל
386	רמז אהרן
387	רמז דוד
388	רפאל יצחק
389	רפטור ברל
390	רצון מנחם
391	רקנטי אברהם
392	שאג אברהם חיים
393	שאקי אבנר-חי
394	שאקי שלום אברהם
395	שובל זלמן
396	שוסטק אליעזר
397	שופמן יוסף
398	שוקן גרשום
399	שורש שלמה
400	שזר שניאור זלמן
401	שחור בנימין
402	שחל משה
403	שטרן דוד
404	שטרן מרדכי-חיים
405	שטרן-קטן שרה
406	שיטרית בכור שלום
407	שיכמן שבתאי
408	שילנסקי דב
409	שינמן פנחס
410	שכטרמן אברהם
411	שם-טוב ויקטור
412	שמחונית יהודית
413	שמיר יצחק
414	שמיר משה
415	שמעוני חביב
416	שערי יהודה
417	שפטל אריה
418	שפייזר אליהו
419	שפירא  חיים משה
420	שפירא יעקב
421	שפר זאב
